DATE,China
2000-01-01,959.360431340438
2001-01-01,1053.11231446589
2002-01-01,1148.51425712598
2003-01-01,1288.63749136212
2004-01-01,1508.66791563578
2005-01-01,1753.41419162417
2006-01-01,2099.2194300786
2007-01-01,2693.95873162278
2008-01-01,3468.32706308591
2009-01-01,3832.22745696438
2010-01-01,4550.47394361131
2011-01-01,5614.3860223103
2012-01-01,6300.58217952904
2013-01-01,7020.38607424065
2014-01-01,7636.0743401587
2015-01-01,8016.44559491162
2016-01-01,8094.39016730811
2017-01-01,8817.04560829162
2018-01-01,9905.40638307759
2019-01-01,10143.8602205959
2020-01-01,10408.7195541075
2021-01-01,12617.5051041181
2022-01-01,12720.2163182363
