"Title","UK Real net national disposable income per capita CVM SA"
"CDID","MWB7"
"Source dataset ID","UKEA"
"PreUnit",""
"Unit",""
"Release date","22-12-2023"
"Next release","28 March 2024"
"Important notes",
"1995","17944"
"1996","18499"
"1997","18521"
"1998","21921"
"1999","22295"
"2000","23131"
"2001","23734"
"2002","24311"
"2003","25013"
"2004","25418"
"2005","25989"
"2006","26097"
"2007","26176"
"2008","25470"
"2009","24187"
"2010","24763"
"2011","24859"
"2012","24716"
"2013","24866"
"2014","25632"
"2015","26107"
"2016","26343"
"2017","27218"
"2018","27260"
"2019","28033"
"2020","23893"
"2021","27240"
"2022","27965"
"1995 Q1","4440"
"1995 Q2","4444"
"1995 Q3","4501"
"1995 Q4","4553"
"1996 Q1","4588"
"1996 Q2","4610"
"1996 Q3","4635"
"1996 Q4","4660"
"1997 Q1","4560"
"1997 Q2","4631"
"1997 Q3","4682"
"1997 Q4","4642"
"1998 Q1","5344"
"1998 Q2","5430"
"1998 Q3","5580"
"1998 Q4","5557"
"1999 Q1","5478"
"1999 Q2","5512"
"1999 Q3","5581"
"1999 Q4","5715"
"2000 Q1","5730"
"2000 Q2","5762"
"2000 Q3","5796"
"2000 Q4","5831"
"2001 Q1","5880"
"2001 Q2","5909"
"2001 Q3","5958"
"2001 Q4","5974"
"2002 Q1","5997"
"2002 Q2","6002"
"2002 Q3","6108"
"2002 Q4","6189"
"2003 Q1","6232"
"2003 Q2","6193"
"2003 Q3","6223"
"2003 Q4","6347"
"2004 Q1","6301"
"2004 Q2","6337"
"2004 Q3","6313"
"2004 Q4","6438"
"2005 Q1","6427"
"2005 Q2","6571"
"2005 Q3","6435"
"2005 Q4","6535"
"2006 Q1","6472"
"2006 Q2","6531"
"2006 Q3","6493"
"2006 Q4","6573"
"2007 Q1","6549"
"2007 Q2","6558"
"2007 Q3","6537"
"2007 Q4","6505"
"2008 Q1","6557"
"2008 Q2","6427"
"2008 Q3","6326"
"2008 Q4","6140"
"2009 Q1","5922"
"2009 Q2","5952"
"2009 Q3","6144"
"2009 Q4","6143"
"2010 Q1","6128"
"2010 Q2","6203"
"2010 Q3","6208"
"2010 Q4","6197"
"2011 Q1","6185"
"2011 Q2","6258"
"2011 Q3","6150"
"2011 Q4","6247"
"2012 Q1","6146"
"2012 Q2","6159"
"2012 Q3","6237"
"2012 Q4","6154"
"2013 Q1","6068"
"2013 Q2","6227"
"2013 Q3","6236"
"2013 Q4","6309"
"2014 Q1","6390"
"2014 Q2","6403"
"2014 Q3","6428"
"2014 Q4","6385"
"2015 Q1","6520"
"2015 Q2","6610"
"2015 Q3","6555"
"2015 Q4","6395"
"2016 Q1","6524"
"2016 Q2","6531"
"2016 Q3","6582"
"2016 Q4","6689"
"2017 Q1","6729"
"2017 Q2","6711"
"2017 Q3","6826"
"2017 Q4","6931"
"2018 Q1","6746"
"2018 Q2","6823"
"2018 Q3","6808"
"2018 Q4","6864"
"2019 Q1","6943"
"2019 Q2","7045"
"2019 Q3","7000"
"2019 Q4","7033"
"2020 Q1","6709"
"2020 Q2","4838"
"2020 Q3","6184"
"2020 Q4","6174"
"2021 Q1","6279"
"2021 Q2","6894"
"2021 Q3","6930"
"2021 Q4","7074"
"2022 Q1","6904"
"2022 Q2","7114"
"2022 Q3","6875"
"2022 Q4","7066"
"2023 Q1","6943"
"2023 Q2","6892"
"2023 Q3","6940"
