DATE,United States
1/1/2000,49335
4/1/2000,50109
7/1/2000,50024
10/1/2000,50190
1/1/2001,49911
4/1/2001,50105
7/1/2001,49774
10/1/2001,49783
1/1/2002,50091
4/1/2002,50286
7/1/2002,50362
10/1/2002,50302
1/1/2003,50462
4/1/2003,50796
7/1/2003,51512
10/1/2003,51986
1/1/2004,52179
4/1/2004,52469
7/1/2004,52835
10/1/2004,53242
1/1/2005,53719
4/1/2005,53868
7/1/2005,54153
10/1/2005,54317
1/1/2006,54927
4/1/2006,54945
7/1/2006,54886
10/1/2006,55216
1/1/2007,55260
4/1/2007,55474
7/1/2007,55649
10/1/2007,55857
1/1/2008,55497
4/1/2008,55705
7/1/2008,55278
10/1/2008,53941
1/1/2009,53221
4/1/2009,53017
7/1/2009,53081
10/1/2009,53531
1/1/2010,53683
4/1/2010,54100
7/1/2010,54401
10/1/2010,54569
1/1/2011,54341
4/1/2011,54610
7/1/2011,54482
10/1/2011,54979
1/1/2012,55342
4/1/2012,55490
7/1/2012,55454
10/1/2012,55403
1/1/2013,55859
4/1/2013,55914
7/1/2013,56272
10/1/2013,56642
1/1/2014,56345
4/1/2014,56968
7/1/2014,57536
10/1/2014,57702
1/1/2015,58121
4/1/2015,58376
7/1/2015,58486
10/1/2015,58470
1/1/2016,58704
4/1/2016,58787
7/1/2016,59084
10/1/2016,59296
1/1/2017,59494
4/1/2017,59736
7/1/2017,60099
10/1/2017,60674
1/1/2018,61093
4/1/2018,61336
7/1/2018,61622
10/1/2018,61619
1/1/2019,61889
4/1/2019,62331
7/1/2019,62945
10/1/2019,63257
1/1/2020,62333
4/1/2020,57383
7/1/2020,61803
10/1/2020,62411
1/1/2021,63224
4/1/2021,64153
7/1/2021,64611
10/1/2021,65648
1/1/2022,65284
4/1/2022,65127
7/1/2022,65469
10/1/2022,65799
1/1/2023,66096
4/1/2023,66357
7/1/2023,67050
10/1/2023,67483
